,Company,Model,Year,Owners,Price,City,Kilometer,Updated dates
48,Royal,Enfield Classic,2021,1,"2,15,000 ",Thrissur,"9,950",09 March 2023
49,Mahindra,Centuro Rockstar,2015,1,"18,000 ",Vadodara,"15,000",09 March 2023
50,Kawasaki,Versys 650,2016,2,"4,90,000 ",Mumbai,"33,000",09 March 2023
51,KTM,250 Adventure,2021,1,"2,10,000 ",Dehradun,"13,000",09 March 2023
52,Royal,Enfield Thunderbird,2018,2,"1,70,000 ",Belgaum,"14,500",09 March 2023
53,Honda,Dio Old,2016,2,"35,000 ",Hyderabad,"62,000",09 March 2023
54,Bajaj,Pulsar NS200,2014,1,"58,500 ",Mumbai,"46,500",09 March 2023
55,TVS,Apache RR310,2021,1,"2,25,000 ",Delhi,"13,000",09 March 2023
56,TVS,Apache RTR,2018,1,"60,000 ",Dadri,"32,000",09 March 2023
57,Hero,Xtreme 2014,2014,1,"40,000 ",Ahmedabad,"84,000",09 March 2023
58,Royal,Enfield Himalayan,2022,1,"2,45,000 ",Anantapur,"5,500",09 March 2023
59,TVS,Apache RR310,2019,1,"2,00,000 ",Ahmedabad,"6,500",09 March 2023
60,Kawasaki,Vulcan S,2020,1,"5,00,000 ",Bangalore,"6,300",09 March 2023
61,Benelli,TRK 502,2020,2,"4,25,000 ",Bangalore,"6,000",09 March 2023
62,Royal,Enfield Classic,2019,1,"1,80,000 ",Jind,"11,300",09 March 2023
63,Jawa,42 Version,2021,1,"1,70,000 ",Delhi,"6,500",09 March 2023
64,Suzuki,Gixxer SF,2019,1,"1,30,000 ",Pune,"22,000",09 March 2023
65,Hero,Honda Glamour,2008,2,"35,000 ",Bongaigaon,"45,000",09 March 2023
66,Jawa,42 Dual,2020,1,"1,40,000 ",Delhi,"25,000",09 March 2023
67,TVS,Apache RTR,2019,1,"78,000 ",Chalisgaon,"9,770",09 March 2023
68,Suzuki,Gixxer SF,2019,1,"1,30,000 ",Pune,"22,000",09 March 2023
69,Bajaj,Discover 125,2012,1,"29,000 ",Salem,"75,000",09 March 2023
70,TVS,Ntorq 125,2019,1,"69,000 ",Bangalore,"21,000",09 March 2023
71,Honda,CB Hornet,2018,1,"60,000 ",Mumbai,"35,000",09 March 2023
72,Hero,Honda Splendor,2009,2,"22,900 ",Chennai,"29,920",09 March 2023
73,Royal,Enfield Electra,2020,2,"1,30,000 ",Kakinada,"20,000",09 March 2023
74,TVS,Raider 125,2022,1,"95,000 ",Hyderabad,"11,000",09 March 2023
75,Honda,CB Hornet,2018,1,"50,000 ",Chennai,"40,000",09 March 2023
76,Yamaha,MT 15,2022,1,"1,90,000 ",Hubli,"3,500",09 March 2023
77,Husqvarna,Vitpilen 250,2021,1,"2,10,000 ",Ludhiana,"8,500",09 March 2023
78,Yamaha,FZ S,2021,1,"1,00,000 ",Indore,"15,000",09 March 2023
79,Royal,Enfield Hunter,2023,1,"1,90,000 ",Palanpur,"1,100",09 March 2023
80,Honda,Hness CB350,2022,1,"2,30,000 ",Kalyan,"9,000",09 March 2023
81,Bajaj,Pulsar N160,2023,1,"1,40,000 ",Agartala,"1,800",09 March 2023
82,Honda,CB Shine,2018,1,"40,000 ",Noida,"70,000",09 March 2023
83,Yamaha,FZ S,2014,1,"70,000 ",Kharagpur,"44,724",09 March 2023
84,KTM,RC 200,2020,1,"1,80,000 ",Jammu,"8,200",09 March 2023
85,Royal,Enfield Classic,2022,1,"2,30,000 ",Moradabad,"1,500",09 March 2023
86,Bajaj,Pulsar 125,2021,1,"85,000 ",Hyderabad,"8,000",09 March 2023
87,Hero,Passion Pro,2020,2,"60,000 ",Faridabad,"8,200",09 March 2023
88,Honda,CB Shine,2017,1,"50,000 ",Faizabad,"32,000",09 March 2023
89,Bajaj,CT 110,2023,1,"82,000 ",Agra,310,09 March 2023
90,Yamaha,FZ25 Standard,2019,1,"1,00,000 ",Mumbai,"35,000",09 March 2023
91,Yamaha,FZ16 Standard,2009,1,"30,000 ",Bangalore,"62,000",09 March 2023
92,TVS,Apache RTR,2020,1,"1,00,000 ",Mumbai,"5,200",09 March 2023
93,Street,Davidson Street,2019,1,"5,20,000 ",Delhi,"5,000",09 March 2023
94,Jawa,42 Version,2022,1,"1,90,000 ",Pune,"15,000",09 March 2023
95,Bajaj,Pulsar NS160,2017,2,"45,000 ",Noida,"33,000",09 March 2023
96,Suzuki,Access 125,2012,2,"26,000 ",Bangalore,"25,000",09 March 2023
97,Honda,CB Unicorn,2011,1,"50,000 ",Vadodara,"25,000",09 March 2023
98,Royal,Enfield Himalayan,2022,1,"2,45,000 ",Baripada,"3,800",09 March 2023
99,Bajaj,Pulsar 180,2013,1,"45,000 ",Baramati,"34,034",09 March 2023
100,KTM,200 Duke,2014,2,"70,000 ",Hyderabad,"95,000",09 March 2023
101,Royal,Enfield Electra,2012,2,"75,000 ",Kochi,"50,000",09 March 2023
102,Yamaha,YZF R15,2020,1,"1,60,000 ",Coimbatore,"30,000",09 March 2023
103,Yamaha,YZF R15,2017,3,"65,000 ",Faridabad,"25,000",09 March 2023
104,Hero,Maestro Edge,2019,1,"70,000 ",Ooty,"16,000",09 March 2023
105,Bajaj,V15 Power,2018,1,"40,000 ",Lucknow,"31,000",09 March 2023
106,Honda,Activa 5G,2019,1,"65,000 ",Ranchi,"37,000",09 March 2023
107,Yamaha,FZ16 Standard,2009,1,"25,000 ",Coimbatore,"70,000",09 March 2023
108,Hero,Hunk Rear,2010,1,"35,000 ",Sangrur,"37,000",09 March 2023
109,Honda,Activa 5G,2018,1,"60,000 ",Bangalore,"9,000",09 March 2023
110,Ampere,Magnus EX,2022,1,"70,000 ",Kota,"9,299",09 March 2023
111,Aprilia,SR 150,2018,1,"60,000 ",Satara,"26,000",09 March 2023
112,Hero,Honda CD,2002,2,"10,000 ",Ahmedabad,"70,000",09 March 2023
113,Hero,Maestro Edge,2021,1,"60,000 ",Gaya,"20,000",09 March 2023
114,Suzuki,Burgman Street,2021,1,"1,10,000 ",Thane,"29,000",09 March 2023
115,Suzuki,Access 125,2018,1,"60,000 ",Mysore,"25,000",09 March 2023
116,Honda,Dio Deluxe,2020,1,"70,000 ",Bangalore,"22,000",09 March 2023
117,OLA,S1 Pro,2022,1,"1,10,000 ",Hyderabad,"10,000",09 March 2023
118,Hero,Honda CD,2011,1,"25,000 ",Bina,"00,000",09 March 2023
119,Bajaj,Discover 135,2009,2,"20,000 ",Dehradun,"39,000",09 March 2023
120,Bajaj,Discover 100,2015,1,"20,000 ",Kolkata,"22,700",09 March 2023
121,Jawa,42 Dual,2023,1,"2,00,000 ",Thane,"1,000",09 March 2023
122,Hero,Passion XPro,2016,1,"35,000 ",Delhi,"35,000",09 March 2023
123,Suzuki,i Gixxer,2016,1,"70,000 ",Chennai,"35,000",09 March 2023
124,Honda,Activa 3G,2016,1,"40,000 ",Hyderabad,"60,000",09 March 2023
125,Hero,Glamour 125,2018,1,"50,000 ",Brahmapur,"60,000",09 March 2023
126,Hero,Honda Splendor,2003,2,"5,000 ",Madurai,"80,000",09 March 2023
127,TVS,XL100 Heavy,2020,1,"50,000 ",Hyderabad,"50,000",09 March 2023
128,Royal,Enfield Classic,2010,1,"1,25,000 ",Hyderabad,"50,000",09 March 2023
129,TVS,Jupiter ZX,2021,1,"60,000 ",Modasa,"43,000",09 March 2023
130,Revolt,RV 400,2021,1,"1,25,000 ",Ahmedabad,"25,000",09 March 2023
131,Hero,Honda Splendor,2008,1,"16,000 ",Noida,"50,000",09 March 2023
132,Royal,Enfield Classic,2021,1,"1,90,000 ",Agra,"12,000",09 March 2023
133,Honda,CB Unicorn,2009,1,"25,000 ",Sibsagar,"9,831",09 March 2023
134,Bajaj,Pulsar RS,2015,1,"90,000 ",Meerut,"30,000",09 March 2023
135,Hero,Splendor Plus,2019,3,"55,000 ",Surat,"21,000",09 March 2023
136,Yamaha,a SZ,2013,1,"15,000 ",Delhi,"57,000",09 March 2023
137,Bajaj,Pulsar NS160,2021,1,"1,00,000 ",Bangalore,"10,500",09 March 2023
138,Royal,Enfield Thunderbird,2017,1,"1,45,000 ",Raipur,"22,300",09 March 2023
139,Royal,Enfield Thunderbird,2015,2,"1,20,000 ",Lucknow,"18,000",09 March 2023
140,Hero,Super Splendor,2021,1,"65,000 ",Garhwa,"38,000",09 March 2023
141,Yamaha,YZF R15,2016,1,"60,000 ",Ahmedabad,"11,200",09 March 2023
142,Bajaj,Discover 100,2014,1,"30,000 ",Sravasti,"50,000",09 March 2023
143,Yamaha,YZF R15,2018,1,"1,00,000 ",Ahmedabad,"29,000",09 March 2023
144,TVS,Ntorq 125,2022,1,"1,20,000 ",Pune,"5,000",09 March 2023
145,TVS,Apache RTR,2015,1,"35,000 ",Chennai,"57,000",09 March 2023
146,Honda,CB Hornet,2016,1,"45,000 ",Ahmedabad,"42,000",09 March 2023
147,Hero,Splendor Plus,2021,1,"80,000 ",Bhopal,"11,454",09 March 2023
148,Hero,Splendor Plus,2021,1,"65,000 ",Jaunpur,"21,223",09 March 2023
149,Honda,Dio STD,2019,1,"50,000 ",Bangalore,"33,000",09 March 2023
150,Hero,Passion PRO,2021,1,"70,000 ",Kolhapur,"40,000",09 March 2023
151,Hero,Honda Passion,2014,1,"49,000 ",Solapur,"00,000",09 March 2023
152,Hero,Passion Pro,2016,1,"40,000 ",Nagapattinam,"91,000",09 March 2023
153,TVS,Raider 125,2022,1,"1,00,000 ",Giddalur,"1,600",09 March 2023
154,Hero,Honda Passion,2009,1,"25,000 ",Chennai,"22,500",09 March 2023
155,Hero,o Karizma,2015,2,"50,000 ",Ahmedabad,"00,000",09 March 2023
156,Kawasaki,Ninja 250R,2009,1,"1,50,000 ",Mumbai,"30,000",09 March 2023
157,Hero,Honda Hunk,2010,1,"50,000 ",Kota,"15,000",09 March 2023
158,Honda,CB Unicorn,2016,1,"50,000 ",Pune,"32,000",09 March 2023
159,KTM,390 Duke,2017,1,"2,00,000 ",Bangalore,"25,000",09 March 2023
160,Suzuki,Intruder 150,2018,1,"85,000 ",Ahmedabad,"21,000",09 March 2023
161,Royal,Enfield Bullet,2013,4,"1,35,000 ",Bangalore,"25,000",09 March 2023
162,TVS,Apache RTR,2019,1,"70,000 ",Moradabad,"25,000",09 March 2023
163,Suzuki,Gixxer SF,2018,1,"80,000 ",Pune,"20,000",09 March 2023
164,Bajaj,Pulsar 150,2020,1,"80,000 ",Mumbai,"14,000",09 March 2023
165,TVS,Star City,2017,2,"35,000 ",Nellore,"81,000",09 March 2023
166,Mahindra,Mojo XT300,2017,1,"1,40,000 ",Hyderabad,"32,000",09 March 2023
167,Royal,Enfield Meteor,2021,1,"1,85,000 ",Coimbatore,"7,500",09 March 2023
168,Honda,Activa 5G,2019,1,"80,000 ",Seoni,"31,377",09 March 2023
169,TVS,Ntorq 125,2020,1,"65,000 ",Bangalore,"22,000",09 March 2023
170,Honda,Activa 3G,2015,1,"35,000 ",Hyderabad,"84,000",09 March 2023
171,Hero,Honda Glamour,2009,1,"40,000 ",Mangaldai,"60,000",09 March 2023
172,TVS,Ntorq 125,2019,1,"70,000 ",Bangalore,"35,500",09 March 2023
173,KTM,125 Duke,2020,1,"1,60,000 ",Hyderabad,"2,500",09 March 2023
174,Bajaj,Pulsar F250,2022,1,"1,50,000 ",Bangalore,"6,000",09 March 2023
175,Bajaj,Discover 135,2009,1,"12,000 ",Ghaziabad,"85,000",09 March 2023
176,Honda,Activa 6G,2020,1,"65,000 ",Delhi,"9,200",09 March 2023
177,Yamaha,YZF R15,2020,1,"1,20,000 ",Mumbai,"25,000",09 March 2023
178,Bajaj,Discover 100,2014,1,"25,000 ",Faridabad,"48,000",09 March 2023
179,Jawa,Standard Dual,2020,1,"2,20,000 ",Kolkata,"18,000",09 March 2023
180,Aprilia,SXR 125,2021,1,"1,15,000 ",Agra,"1,990",09 March 2023
181,Yamaha,R15 V4,2022,1,"1,90,000 ",Noida,"4,000",09 March 2023
182,Honda,Shine Electric,2013,1,"45,000 ",Pune,"60,000",09 March 2023
183,Suzuki,Access 125,2021,1,"90,000 ",Vijaywada,"3,000",09 March 2023
184,KTM,390 Duke,2018,1,"2,70,000 ",Indore,"2,200",09 March 2023
185,Honda,CB Trigger,2013,1,"35,000 ",Pune,"33,000",09 March 2023
186,Yamaha,FZ S,2015,1,"70,000 ",Hyderabad,"78,805",09 March 2023
187,TVS,Wego Drum,2019,1,"45,000 ",Chennai,"17,000",09 March 2023
188,Bajaj,Pulsar 180F,2021,1,"70,000 ",Ramgarh,"20,000",09 March 2023
189,Royal,Enfield Interceptor,2019,1,"2,50,000 ",Nagpur,"3,700",09 March 2023
190,TVS,Ntorq 125,2021,1,"80,000 ",Ghaziabad,"3,500",09 March 2023
191,Hero,Xtreme 160R,2020,1,"90,000 ",Visakhapatnam,"15,000",09 March 2023
192,Bajaj,Pulsar 125,2022,1,"80,000 ",Nalanda,"5,000",09 March 2023
193,Honda,Activa 125,2009,1,"15,000 ",Delhi,"45,000",08 March 2023
194,Yamaha,Rx 135,2001,1,"70,000 ",Bangalore,"30,000",08 March 2023
195,Hero,Passion Pro,2011,1,"55,000 ",Tirupati,"52,000",08 March 2023
196,Hero,Ignitor Disc,2014,1,"50,000 ",Basirhat,"28,000",08 March 2023
197,Hero,Honda Splendor,2001,1,"20,000 ",Nashik,"50,000",08 March 2023
198,Royal,Enfield Bullet,2004,2,"75,000 ",Bangalore,"60,000",07 March 2023
199,KTM,390 Duke,2017,1,"2,45,000 ",Daman,"3,762",06 March 2023
200,Benelli,Imperiale 400,2021,1,"1,90,000 ",Delhi,"11,100",06 March 2023
201,Honda,Activa 3G,2015,1,"33,000 ",Amritsar,"16,000",06 March 2023
202,Hero,Honda Karizma,2011,2,"23,000 ",Dehradun,"44,000",06 March 2023
203,KTM,250 Duke,2021,1,"2,15,000 ",Cantt,"3,800",06 March 2023
204,Royal,Enfield Thunderbird,2018,1,"1,30,000 ",Noida,"28,000",06 March 2023
205,Hero,Maestro Edge,2019,2,"45,000 ",Goa,"33,000",06 March 2023
206,TVS,Apache RTR,2017,1,"75,000 ",Agra,"13,000",06 March 2023
207,Yamaha,YZF R15,2019,1,"1,25,000 ",Ahmedabad,"17,500",06 March 2023
208,Honda,Activa 4G,2017,1,"40,000 ",Chennai,"45,000",06 March 2023
209,TVS,Ntorq 125,2019,1,"45,000 ",Baksa,"41,171",06 March 2023
210,Hero,Honda Splendor,2012,1,"15,000 ",Gurgaon,"80,000",06 March 2023
211,Hero,Xtreme Sports,2016,1,"55,000 ",Patna,"61,000",06 March 2023
212,Honda,SP 125,2021,1,"70,000 ",Arambagh,"38,000",06 March 2023
213,Bajaj,Avenger Street,2021,1,"90,000 ",Delhi,"17,500",06 March 2023
214,Honda,a Activa,2011,1,"35,000 ",Gadag,"27,400",06 March 2023
215,Aprilia,SR 150,2018,1,"52,000 ",Hyderabad,"39,000",06 March 2023
216,Kawasaki,Ninja 300,2022,1,"3,65,000 ",Hyderabad,"5,000",06 March 2023
217,Yamaha,FZ16 Standard,2014,1,"55,000 ",Ahmedabad,"45,000",06 March 2023
218,Royal,Enfield Himalayan,2021,2,"2,50,000 ",Bangalore,"8,500",06 March 2023
219,Suzuki,i V,2022,1,"2,60,000 ",Hyderabad,"5,500",06 March 2023
220,Honda,a Activa,2014,1,"31,999 ",Akola,"25,880",06 March 2023
221,Honda,a Activa,2011,1,"20,000 ",Hyderabad,"94,000",06 March 2023
222,Honda,CB Hornet,2016,1,"40,000 ",Mumbai,"70,000",06 March 2023
223,Honda,Activa 6G,2020,1,"65,000 ",Noida,"1,200",06 March 2023
224,Honda,Activa 6G,2021,1,"70,000 ",Noida,"16,399",06 March 2023
225,TVS,Star City,2022,1,"75,000 ",Pune,"6,300",06 March 2023
226,KTM,250 Duke,2019,1,"1,65,000 ",Muzaffurpur,"3,100",06 March 2023
227,Hero,Xtreme 160R,2021,1,"95,000 ",Etawah,"7,300",06 March 2023
228,Bajaj,Pulsar RS,2021,1,"1,40,000 ",Rewa,"8,000",06 March 2023
229,Yamaha,YZF R15,2021,1,"1,75,000 ",Raichur,"4,500",06 March 2023
230,Royal,Enfield Classic,2017,1,"1,70,000 ",Chennai,"32,000",06 March 2023
231,Honda,Livo Drum,2019,2,"50,000 ",Pune,"20,000",06 March 2023
232,Yamaha,YZF R15,2021,1,"1,30,000 ",Ahmedabad,"25,500",06 March 2023
233,Hero,Honda Xtreme,2008,1,"15,000 ",Patna,"00,000",06 March 2023
234,Honda,Dio Deluxe,2019,1,"60,000 ",Bangalore,"25,000",06 March 2023
235,TVS,Apache RTR,2016,2,"75,000 ",Delhi,"34,000",06 March 2023
236,Hero,Glamour Disc,2016,1,"55,000 ",Coimbatore,"24,000",06 March 2023
237,Bajaj,Pulsar 150,2018,1,"70,000 ",Chennai,"30,000",06 March 2023
238,Suzuki,Access 125,2019,1,"50,000 ",Hyderabad,"20,500",06 March 2023
239,Bajaj,CT 100,2021,1,"50,000 ",Jodhpur,"27,000",06 March 2023
240,Suzuki,Access 125,2019,1,"55,000 ",Jhansi,"16,900",06 March 2023
241,Hero,HF Deluxe,2013,1,"45,000 ",Jodhpur,"40,000",06 March 2023
242,Bajaj,Platina 100,2018,1,"45,000 ",Faridabad,"16,000",06 March 2023
243,TVS,Wego Disc,2019,1,"60,000 ",Bangalore,"16,000",06 March 2023
244,Honda,CBR250R Standard,2018,1,"1,50,000 ",Delhi,"20,000",06 March 2023
245,Yamaha,YZF R15,2021,1,"1,65,000 ",Kochi,"7,000",06 March 2023
246,TVS,Jupiter Standard,2019,1,"45,000 ",Bangalore,"87,000",06 March 2023
247,Royal,Enfield Classic,2014,1,"1,20,000 ",Mumbai,"42,000",06 March 2023
248,Bajaj,CT 100,2015,1,"22,000 ",Ghaziabad,"48,000",06 March 2023
249,Royal,Enfield Classic,2020,1,"2,00,000 ",Ballia,"5,400",06 March 2023
250,Bajaj,Pulsar 150,2010,1,"35,000 ",Kangra,"65,000",06 March 2023
251,Yamaha,R15 V4,2022,1,"2,22,000 ",Ahmedabad,"6,600",06 March 2023
252,Royal,Enfield Electra,2016,2,"1,00,000 ",Bellary,"65,500",06 March 2023
253,Hero,Splendor Plus,2022,1,"70,000 ",Zirakpur,"40,000",06 March 2023
254,Hero,Honda Splendor,2005,1,"21,000 ",,"60,000",06 March 2023
255,TVS,Apache RTR,2023,1,"1,80,000 ",Indore,"1,000",06 March 2023
256,Bajaj,Discover 125,2014,1,"30,000 ",Howrah,"11,000",06 March 2023
257,Yamaha,FZ V,2018,1,"60,000 ",Delhi,"21,000",06 March 2023
258,Hero,Honda Splendor,2013,2,"25,000 ",Delhi,"75,000",06 March 2023
259,Yamaha,FZ16 Standard,2015,1,"40,000 ",City,"36,000",06 March 2023
260,Hero,Xpulse 200,2021,1,"1,10,000 ",Goalpara,"14,600",06 March 2023
261,Honda,CBR250R ABS,2012,1,"80,000 ",Surat,"4,900",06 March 2023
262,Honda,Shine Drum,2020,1,"68,000 ",Coimbatore,"51,998",06 March 2023
263,Royal,Enfield Classic,2019,1,"1,75,000 ",Delhi,"20,000",06 March 2023
264,Yamaha,MT 15,2020,1,"1,50,000 ",Delhi,"11,000",06 March 2023
265,TVS,Apache RTR,2020,1,"1,00,000 ",Chennai,"7,500",06 March 2023
266,Hero,Splendor Plus,2022,1,"96,000 ",Ghaziabad,"2,200",06 March 2023
267,Bajaj,Pulsar 150,2013,1,"50,000 ",Marthandam,"68,000",06 March 2023
268,Royal,Enfield Electra,2017,1,"1,20,000 ",Hyderabad,"24,000",06 March 2023
269,Honda,Dream Yuga,2014,1,"60,000 ",Pune,"60,000",06 March 2023
270,Honda,Activa 125,2016,1,"30,000 ",Chennai,"72,000",06 March 2023
271,TVS,Scooty Pep,2015,1,"35,000 ",Tiruppur,"44,834",06 March 2023
272,Honda,a Activa,2012,1,"20,000 ",Chennai,"60,000",06 March 2023
273,Bajaj,Avenger Street,2016,1,"45,000 ",Ulhasnagar,"30,000",06 March 2023
274,Honda,Activa 6G,2021,1,"80,000 ",Noida,"7,000",06 March 2023
275,Hero,Passion Pro,2017,2,"50,000 ",Bulandshahar,"42,000",06 March 2023
276,Royal,Enfield Thunderbird,2017,1,"1,20,000 ",Thane,"14,000",06 March 2023
277,Honda,Hness CB350,2022,1,"2,25,000 ",Mumbai,"2,000",06 March 2023
278,TVS,Apache RTR,2018,1,"65,000 ",Kolkata,"29,876",06 March 2023
279,Hero,Duet LX,2016,1,"40,000 ",Chennai,"35,000",06 March 2023
280,Honda,Dio Standard,2020,1,"60,000 ",Mumbai,"30,000",06 March 2023
281,Honda,Activa 5G,2018,1,"50,000 ",Delhi,"6,800",06 March 2023
282,Hero,Passion Pro,2016,1,"28,000 ",Delhi,"20,000",05 March 2023
283,Hero,Honda Hunk,2010,3,"16,000 ",Noida,"36,644",05 March 2023
284,Honda,a Activa,2013,1,"30,000 ",Mumbai,"6,900",05 March 2023
285,Bajaj,V15 Standard,2016,1,"30,000 ",Ghaziabad,"25,000",05 March 2023
286,Bajaj,Pulsar 150,2009,1,"50,000 ",Moradabad,"20,000",05 March 2023
287,Bajaj,Pulsar 150,2016,1,"35,000 ",Begusarai,"68,000",05 March 2023
288,Bajaj,Pulsar 150,2010,1,"21,000 ",Mumbai,"58,908",03 March 2023
289,Suzuki,Intruder 150,2019,1,"80,000 ",Mumbai,"3,900",03 March 2023
290,TVS,Apache RTR,2017,1,"65,000 ",Delhi,"40,000",03 March 2023
291,TVS,Jupiter Standard,2014,1,"36,000 ",Mumbai,"40,000",03 March 2023
292,Royal,Enfield Interceptor,2020,1,"2,75,000 ",Surat,"11,500",03 March 2023
293,TVS,Apache RTR,2017,1,"90,000 ",Bangalore,"8,400",03 March 2023
294,Royal,Enfield Thunderbird,2015,3,"1,20,000 ",Betul,"25,000",03 March 2023
295,Jawa,42 Version,2021,1,"1,80,000 ",Bangalore,"13,000",03 March 2023
296,Honda,a X,2018,1,"75,500 ",Thane,"33,000",03 March 2023
297,TVS,Apache RTR,2021,1,"1,40,000 ",Bantwal,"4,500",03 March 2023
298,Honda,CB Unicorn,2017,1,"50,000 ",Chennai,"23,000",03 March 2023
299,Royal,Enfield Interceptor,2022,1,"3,00,000 ",Lucknow,"7,500",03 March 2023
300,TVS,Sport Kick,2020,1,"41,000 ",Lalitpur,"22,243",03 March 2023
301,BMW,G 310,2020,1,"2,70,000 ",Hyderabad,"9,000",03 March 2023
302,Jawa,42 Version,2021,1,"1,95,000 ",Hyderabad,"7,980",03 March 2023
303,Benelli,502C Standard,2023,1,"6,20,000 ",Dehradun,"1,600",03 March 2023
304,Royal,Enfield Hunter,2022,1,"1,75,000 ",Surat,"1,000",03 March 2023
305,Honda,Activa i,2014,1,"20,000 ",Delhi,"30,099",03 March 2023
306,Honda,CB Unicorn,2015,2,"52,000 ",Bangalore,"24,000",03 March 2023
307,Honda,a Activa,2014,2,"14,000 ",Faridabad,"30,000",03 March 2023
308,KTM,RC 125,2022,1,"2,20,000 ",Ahmedabad,"5,000",03 March 2023
309,Suzuki,Burgman Street,2022,1,"90,000 ",Mumbai,"11,000",03 March 2023
310,Royal,Enfield Electra,2015,2,"1,00,000 ",Delhi,"46,000",03 March 2023
311,Benelli,Imperiale 400,2020,1,"1,60,000 ",Chennai,"34,500",03 March 2023
312,PURE,EV Etryst,2022,1,"1,50,000 ",Chennai,"7,000",03 March 2023
313,TVS,Apache RTR,2019,1,"85,000 ",Delhi,"5,800",03 March 2023
